DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
650.4205	 0.1278
652.2841	 0.1237
654.1478	 0.1206
656.0115	 0.1223
657.8751	 0.1217
659.7388	 0.1196
661.6025	 0.1173
663.4661	 0.1175
665.3298	 0.1243
667.1935	 0.1260
669.0571	 0.1151
670.9208	 0.1144
672.7845	 0.1180
674.6481	 0.1156
676.5118	 0.1103
678.3755	 0.1109
680.2392	 0.1128
682.1028	 0.1107
683.9665	 0.1082
685.8302	 0.1079
687.6938	 0.1090
689.5575	 0.1091
691.4212	 0.1092
693.2848	 0.1111
695.1485	 0.1122
697.0122	 0.1114
698.8758	 0.1093
700.7395	 0.1082
702.6032	 0.1099
704.4669	 0.1109
706.3305	 0.1099
708.1942	 0.1105
710.0579	 0.1107
711.9215	 0.1106
713.7852	 0.1130
715.6489	 0.1161
717.5125	 0.1179
719.3762	 0.1181
721.2399	 0.1162
723.1035	 0.1155
724.9672	 0.1162
726.8309	 0.1149
728.6945	 0.1128
730.5582	 0.1118
732.4219	 0.1109
734.2856	 0.1095
736.1492	 0.1074
738.0129	 0.1059
739.8766	 0.1056
741.7402	 0.1048
743.6039	 0.1042
745.4676	 0.1042
747.3312	 0.1042
749.1949	 0.1041
751.0586	 0.1046
752.9222	 0.1049
754.7859	 0.1048
756.6496	 0.1048
758.5132	 0.1053
760.3769	 0.1060
762.2406	 0.1056
764.1043	 0.1047
765.9679	 0.1043
767.8316	 0.1050
769.6953	 0.1054
771.5589	 0.1054
773.4226	 0.1045
775.2863	 0.1033
777.1499	 0.1038
779.0136	 0.1045
780.8773	 0.1031
782.7409	 0.1011
784.6046	 0.0992
786.4683	 0.0974
788.3320	 0.0958
790.1956	 0.0948
792.0593	 0.0949
793.9230	 0.0953
795.7866	 0.0952
797.6503	 0.0938
799.5140	 0.0929
801.3776	 0.0931
803.2413	 0.0925
805.1050	 0.0912
806.9686	 0.0912
808.8323	 0.0918
810.6960	 0.0915
812.5596	 0.0914
814.4233	 0.0911
816.2870	 0.0905
818.1507	 0.0910
820.0143	 0.0913
821.8780	 0.0908
823.7417	 0.0908
825.6053	 0.0912
827.4690	 0.0913
829.3327	 0.0914
831.1963	 0.0914
833.0600	 0.0922
834.9237	 0.0929
836.7873	 0.0922
838.6510	 0.0918
840.5147	 0.0923
842.3784	 0.0929
844.2420	 0.0931
846.1057	 0.0927
847.9694	 0.0922
849.8330	 0.0923
851.6967	 0.0931
853.5604	 0.0938
855.4240	 0.0942
857.2877	 0.0940
859.1514	 0.0944
861.0150	 0.0955
862.8787	 0.0959
864.7424	 0.0960
866.6060	 0.0963
868.4697	 0.0966
870.3334	 0.0968
872.1971	 0.0971
874.0607	 0.0976
875.9244	 0.0982
877.7881	 0.0986
879.6517	 0.0989
881.5154	 0.0996
883.3791	 0.1000
885.2427	 0.0996
887.1064	 0.1000
888.9701	 0.1008
890.8337	 0.1013
892.6974	 0.1017
894.5611	 0.1019
896.4247	 0.1019
898.2884	 0.1021
900.1521	 0.1023
902.0158	 0.1024
903.8794	 0.1026
905.7431	 0.1030
907.6068	 0.1032
909.4704	 0.1038
911.3341	 0.1045
913.1978	 0.1050
915.0614	 0.1057
916.9251	 0.1066
918.7888	 0.1077
920.6524	 0.1088
922.5161	 0.1095
924.3798	 0.1101
926.2435	 0.1105
928.1071	 0.1107
929.9708	 0.1108
931.8345	 0.1106
933.6981	 0.1104
935.5618	 0.1102
937.4255	 0.1097
939.2891	 0.1095
941.1528	 0.1097
943.0165	 0.1100
944.8801	 0.1101
946.7438	 0.1099
948.6075	 0.1096
950.4711	 0.1087
952.3348	 0.1077
954.1985	 0.1074
956.0622	 0.1073
957.9258	 0.1071
959.7895	 0.1074
961.6532	 0.1079
963.5168	 0.1083
965.3805	 0.1088
967.2442	 0.1094
969.1078	 0.1101
970.9715	 0.1108
972.8352	 0.1115
974.6988	 0.1121
976.5625	 0.1129
978.4262	 0.1137
980.2899	 0.1146
982.1535	 0.1156
984.0172	 0.1165
985.8809	 0.1175
987.7445	 0.1186
989.6082	 0.1199
991.4719	 0.1210
993.3355	 0.1216
995.1992	 0.1223
997.0629	 0.1228
998.9265	 0.1230
1000.7902	 0.1230
1002.6539	 0.1225
1004.5175	 0.1219
1006.3812	 0.1216
1008.2449	 0.1213
1010.1086	 0.1212
1011.9722	 0.1211
1013.8359	 0.1211
1015.6996	 0.1212
1017.5632	 0.1217
1019.4269	 0.1220
1021.2906	 0.1221
1023.1542	 0.1226
1025.0179	 0.1231
1026.8816	 0.1233
1028.7452	 0.1234
1030.6089	 0.1236
1032.4726	 0.1235
1034.3362	 0.1231
1036.1999	 0.1223
1038.0636	 0.1215
1039.9273	 0.1210
1041.7909	 0.1206
1043.6546	 0.1201
1045.5183	 0.1196
1047.3819	 0.1195
1049.2456	 0.1194
1051.1093	 0.1192
1052.9729	 0.1194
1054.8366	 0.1197
1056.7003	 0.1199
1058.5639	 0.1203
1060.4276	 0.1205
1062.2913	 0.1203
1064.1550	 0.1202
1066.0186	 0.1202
1067.8823	 0.1200
1069.7460	 0.1196
1071.6096	 0.1197
1073.4733	 0.1198
1075.3370	 0.1197
1077.2006	 0.1199
1079.0643	 0.1205
1080.9280	 0.1212
1082.7916	 0.1215
1084.6553	 0.1217
1086.5190	 0.1222
1088.3826	 0.1223
1090.2463	 0.1221
1092.1100	 0.1221
1093.9737	 0.1222
1095.8373	 0.1224
1097.7010	 0.1223
1099.5647	 0.1219
1101.4283	 0.1215
1103.2920	 0.1214
1105.1557	 0.1215
1107.0193	 0.1215
1108.8830	 0.1214
1110.7467	 0.1212
1112.6103	 0.1208
1114.4740	 0.1202
1116.3377	 0.1194
1118.2014	 0.1183
1120.0650	 0.1176
1121.9287	 0.1172
1123.7924	 0.1170
1125.6560	 0.1172
1127.5197	 0.1178
1129.3834	 0.1188
1131.2470	 0.1199
1133.1107	 0.1211
1134.9744	 0.1222
1136.8380	 0.1229
1138.7017	 0.1233
1140.5654	 0.1238
1142.4290	 0.1242
1144.2927	 0.1245
1146.1564	 0.1248
1148.0201	 0.1252
1149.8837	 0.1257
1151.7474	 0.1262
1153.6111	 0.1264
1155.4747	 0.1267
1157.3384	 0.1269
1159.2021	 0.1272
1161.0657	 0.1275
1162.9294	 0.1274
1164.7931	 0.1272
1166.6567	 0.1267
1168.5204	 0.1260
1170.3841	 0.1253
1172.2477	 0.1248
1174.1114	 0.1241
1175.9751	 0.1229
1177.8388	 0.1217
1179.7024	 0.1204
1181.5661	 0.1193
1183.4298	 0.1184
1185.2934	 0.1175
1187.1571	 0.1167
1189.0208	 0.1159
1190.8844	 0.1152
1192.7481	 0.1144
1194.6118	 0.1136
1196.4754	 0.1129
1198.3391	 0.1121
1200.2028	 0.1111
1202.0665	 0.1103
1203.9301	 0.1097
1205.7938	 0.1092
1207.6575	 0.1089
1209.5211	 0.1086
1211.3848	 0.1087
1213.2485	 0.1089
1215.1121	 0.1088
1216.9758	 0.1090
1218.8395	 0.1095
1220.7031	 0.1098
1222.5668	 0.1100
1224.4305	 0.1105
1226.2941	 0.1107
1228.1578	 0.1111
1230.0215	 0.1116
1231.8852	 0.1117
1233.7488	 0.1116
1235.6125	 0.1111
1237.4762	 0.1104
1239.3398	 0.1099
1241.2035	 0.1092
1243.0672	 0.1090
1244.9308	 0.1091
1246.7945	 0.1089
1248.6582	 0.1084
1250.5218	 0.1076
1252.3855	 0.1063
1254.2492	 0.1046
1256.1129	 0.1030
1257.9765	 0.1012
1259.8402	 0.0993
1261.7039	 0.0972
1263.5675	 0.0950
1265.4312	 0.0928
1267.2949	 0.0909
1269.1585	 0.0892
1271.0222	 0.0875
1272.8859	 0.0859
1274.7495	 0.0844
1276.6132	 0.0832
1278.4769	 0.0824
1280.3405	 0.0815
1282.2042	 0.0807
1284.0679	 0.0800
1285.9316	 0.0795
1287.7952	 0.0791
1289.6589	 0.0782
1291.5226	 0.0772
1293.3862	 0.0761
1295.2499	 0.0747
1297.1136	 0.0731
1298.9772	 0.0719
1300.8409	 0.0706
1302.7046	 0.0694
1304.5682	 0.0685
1306.4319	 0.0676
1308.2956	 0.0668
1310.1592	 0.0662
1312.0229	 0.0660
1313.8866	 0.0656
1315.7503	 0.0652
1317.6139	 0.0648
1319.4776	 0.0643
1321.3413	 0.0632
1323.2049	 0.0623
1325.0686	 0.0618
1326.9323	 0.0614
1328.7959	 0.0609
1330.6596	 0.0606
1332.5233	 0.0604
1334.3869	 0.0607
1336.2506	 0.0616
1338.1143	 0.0624
1339.9780	 0.0623
1341.8416	 0.0618
1343.7053	 0.0616
1345.5690	 0.0622
1347.4326	 0.0625
1349.2963	 0.0630
1351.1600	 0.0637
1353.0236	 0.0643
1354.8873	 0.0644
1356.7510	 0.0645
