DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
650.4205	 0.1643
652.2841	 0.1673
654.1478	 0.1720
656.0115	 0.1686
657.8751	 0.1639
659.7388	 0.1653
661.6025	 0.1653
663.4661	 0.1653
665.3298	 0.1683
667.1935	 0.1633
669.0571	 0.1507
670.9208	 0.1524
672.7845	 0.1547
674.6481	 0.1544
676.5118	 0.1546
678.3755	 0.1530
680.2392	 0.1508
682.1028	 0.1502
683.9665	 0.1503
685.8302	 0.1508
687.6938	 0.1500
689.5575	 0.1480
691.4212	 0.1481
693.2848	 0.1496
695.1485	 0.1502
697.0122	 0.1480
698.8758	 0.1479
700.7395	 0.1502
702.6032	 0.1511
704.4669	 0.1507
706.3305	 0.1505
708.1942	 0.1500
710.0579	 0.1497
711.9215	 0.1522
713.7852	 0.1547
715.6489	 0.1542
717.5125	 0.1552
719.3762	 0.1560
721.2399	 0.1537
723.1035	 0.1533
724.9672	 0.1545
726.8309	 0.1535
728.6945	 0.1513
730.5582	 0.1501
732.4219	 0.1478
734.2856	 0.1448
736.1492	 0.1435
738.0129	 0.1427
739.8766	 0.1431
741.7402	 0.1439
743.6039	 0.1436
745.4676	 0.1430
747.3312	 0.1424
749.1949	 0.1424
751.0586	 0.1424
752.9222	 0.1413
754.7859	 0.1404
756.6496	 0.1408
758.5132	 0.1413
760.3769	 0.1415
762.2406	 0.1415
764.1043	 0.1412
765.9679	 0.1410
767.8316	 0.1414
769.6953	 0.1413
771.5589	 0.1404
773.4226	 0.1397
775.2863	 0.1399
777.1499	 0.1403
779.0136	 0.1394
780.8773	 0.1381
782.7409	 0.1363
784.6046	 0.1335
786.4683	 0.1313
788.3320	 0.1307
790.1956	 0.1301
792.0593	 0.1292
793.9230	 0.1285
795.7866	 0.1281
797.6503	 0.1281
799.5140	 0.1273
801.3776	 0.1258
803.2413	 0.1254
805.1050	 0.1255
806.9686	 0.1249
808.8323	 0.1238
810.6960	 0.1233
812.5596	 0.1234
814.4233	 0.1237
816.2870	 0.1237
818.1507	 0.1236
820.0143	 0.1234
821.8780	 0.1232
823.7417	 0.1233
825.6053	 0.1236
827.4690	 0.1235
829.3327	 0.1239
831.1963	 0.1245
833.0600	 0.1246
834.9237	 0.1245
836.7873	 0.1249
838.6510	 0.1254
840.5147	 0.1255
842.3784	 0.1256
844.2420	 0.1261
846.1057	 0.1266
847.9694	 0.1264
849.8330	 0.1259
851.6967	 0.1258
853.5604	 0.1262
855.4240	 0.1268
857.2877	 0.1275
859.1514	 0.1278
861.0150	 0.1279
862.8787	 0.1282
864.7424	 0.1291
866.6060	 0.1297
868.4697	 0.1299
870.3334	 0.1304
872.1971	 0.1307
874.0607	 0.1310
875.9244	 0.1316
877.7881	 0.1318
879.6517	 0.1316
881.5154	 0.1319
883.3791	 0.1322
885.2427	 0.1326
887.1064	 0.1334
888.9701	 0.1341
890.8337	 0.1346
892.6974	 0.1347
894.5611	 0.1348
896.4247	 0.1352
898.2884	 0.1356
900.1521	 0.1358
902.0158	 0.1362
903.8794	 0.1366
905.7431	 0.1369
907.6068	 0.1370
909.4704	 0.1378
911.3341	 0.1385
913.1978	 0.1391
915.0614	 0.1403
916.9251	 0.1418
918.7888	 0.1428
920.6524	 0.1438
922.5161	 0.1451
924.3798	 0.1460
926.2435	 0.1463
928.1071	 0.1462
929.9708	 0.1459
931.8345	 0.1455
933.6981	 0.1450
935.5618	 0.1446
937.4255	 0.1443
939.2891	 0.1444
941.1528	 0.1447
943.0165	 0.1450
944.8801	 0.1454
946.7438	 0.1453
948.6075	 0.1441
950.4711	 0.1424
952.3348	 0.1413
954.1985	 0.1409
956.0622	 0.1410
957.9258	 0.1412
959.7895	 0.1413
961.6532	 0.1419
963.5168	 0.1426
965.3805	 0.1431
967.2442	 0.1439
969.1078	 0.1449
970.9715	 0.1459
972.8352	 0.1468
974.6988	 0.1476
976.5625	 0.1484
978.4262	 0.1496
980.2899	 0.1506
982.1535	 0.1517
984.0172	 0.1531
985.8809	 0.1545
987.7445	 0.1560
989.6082	 0.1575
991.4719	 0.1587
993.3355	 0.1596
995.1992	 0.1607
997.0629	 0.1612
998.9265	 0.1611
1000.7902	 0.1611
1002.6539	 0.1605
1004.5175	 0.1597
1006.3812	 0.1592
1008.2449	 0.1587
1010.1086	 0.1583
1011.9722	 0.1581
1013.8359	 0.1582
1015.6996	 0.1585
1017.5632	 0.1586
1019.4269	 0.1585
1021.2906	 0.1588
1023.1542	 0.1593
1025.0179	 0.1597
1026.8816	 0.1600
1028.7452	 0.1603
1030.6089	 0.1603
1032.4726	 0.1600
1034.3362	 0.1593
1036.1999	 0.1585
1038.0636	 0.1575
1039.9273	 0.1564
1041.7909	 0.1553
1043.6546	 0.1543
1045.5183	 0.1533
1047.3819	 0.1526
1049.2456	 0.1520
1051.1093	 0.1517
1052.9729	 0.1519
1054.8366	 0.1519
1056.7003	 0.1520
1058.5639	 0.1522
1060.4276	 0.1521
1062.2913	 0.1519
1064.1550	 0.1515
1066.0186	 0.1510
1067.8823	 0.1505
1069.7460	 0.1499
1071.6096	 0.1495
1073.4733	 0.1493
1075.3370	 0.1490
1077.2006	 0.1490
1079.0643	 0.1492
1080.9280	 0.1497
1082.7916	 0.1500
1084.6553	 0.1500
1086.5190	 0.1498
1088.3826	 0.1494
1090.2463	 0.1490
1092.1100	 0.1489
1093.9737	 0.1489
1095.8373	 0.1488
1097.7010	 0.1487
1099.5647	 0.1485
1101.4283	 0.1484
1103.2920	 0.1486
1105.1557	 0.1488
1107.0193	 0.1488
1108.8830	 0.1489
1110.7467	 0.1491
1112.6103	 0.1489
1114.4740	 0.1480
1116.3377	 0.1465
1118.2014	 0.1451
1120.0650	 0.1440
1121.9287	 0.1434
1123.7924	 0.1431
1125.6560	 0.1431
1127.5197	 0.1436
1129.3834	 0.1445
1131.2470	 0.1457
1133.1107	 0.1471
1134.9744	 0.1484
1136.8380	 0.1498
1138.7017	 0.1510
1140.5654	 0.1520
1142.4290	 0.1528
1144.2927	 0.1532
1146.1564	 0.1536
1148.0201	 0.1537
1149.8837	 0.1539
1151.7474	 0.1541
1153.6111	 0.1542
1155.4747	 0.1543
1157.3384	 0.1544
1159.2021	 0.1545
1161.0657	 0.1546
1162.9294	 0.1543
1164.7931	 0.1535
1166.6567	 0.1529
1168.5204	 0.1521
1170.3841	 0.1508
1172.2477	 0.1496
1174.1114	 0.1484
1175.9751	 0.1469
1177.8388	 0.1454
1179.7024	 0.1439
1181.5661	 0.1423
1183.4298	 0.1408
1185.2934	 0.1397
1187.1571	 0.1385
1189.0208	 0.1374
1190.8844	 0.1364
1192.7481	 0.1355
1194.6118	 0.1344
1196.4754	 0.1334
1198.3391	 0.1327
1200.2028	 0.1320
1202.0665	 0.1315
1203.9301	 0.1311
1205.7938	 0.1309
1207.6575	 0.1308
1209.5211	 0.1308
1211.3848	 0.1310
1213.2485	 0.1312
1215.1121	 0.1317
1216.9758	 0.1321
1218.8395	 0.1326
1220.7031	 0.1333
1222.5668	 0.1339
1224.4305	 0.1344
1226.2941	 0.1352
1228.1578	 0.1360
1230.0215	 0.1366
1231.8852	 0.1368
1233.7488	 0.1365
1235.6125	 0.1360
1237.4762	 0.1353
1239.3398	 0.1348
1241.2035	 0.1344
1243.0672	 0.1342
1244.9308	 0.1340
1246.7945	 0.1337
1248.6582	 0.1329
1250.5218	 0.1318
1252.3855	 0.1305
1254.2492	 0.1287
1256.1129	 0.1265
1257.9765	 0.1239
1259.8402	 0.1212
1261.7039	 0.1185
1263.5675	 0.1158
1265.4312	 0.1131
1267.2949	 0.1106
1269.1585	 0.1081
1271.0222	 0.1057
1272.8859	 0.1038
1274.7495	 0.1021
1276.6132	 0.1007
1278.4769	 0.0996
1280.3405	 0.0986
1282.2042	 0.0978
1284.0679	 0.0973
1285.9316	 0.0970
1287.7952	 0.0965
1289.6589	 0.0957
1291.5226	 0.0948
1293.3862	 0.0937
1295.2499	 0.0922
1297.1136	 0.0904
1298.9772	 0.0888
1300.8409	 0.0876
1302.7046	 0.0865
1304.5682	 0.0854
1306.4319	 0.0843
1308.2956	 0.0832
1310.1592	 0.0826
1312.0229	 0.0821
1313.8866	 0.0814
1315.7503	 0.0809
1317.6139	 0.0805
1319.4776	 0.0800
1321.3413	 0.0793
1323.2049	 0.0787
1325.0686	 0.0780
1326.9323	 0.0774
1328.7959	 0.0769
1330.6596	 0.0764
1332.5233	 0.0761
1334.3869	 0.0764
1336.2506	 0.0772
1338.1143	 0.0777
1339.9780	 0.0773
1341.8416	 0.0772
1343.7053	 0.0779
1345.5690	 0.0786
1347.4326	 0.0792
1349.2963	 0.0799
1351.1600	 0.0804
1353.0236	 0.0806
1354.8873	 0.0808
1356.7510	 0.0812
