Wavenumber,Absorbance
650.4205,0.1005
652.2841,0.1025
654.1478,0.1075
656.0115,0.1074
657.8751,0.1075
659.7388,0.1067
661.6025,0.1055
663.4661,0.1067
665.3298,0.1090
667.1935,0.1090
669.0571,0.1066
670.9208,0.1072
672.7845,0.1055
674.6481,0.1036
676.5118,0.1013
678.3755,0.0989
680.2392,0.0984
682.1028,0.0978
683.9665,0.0963
685.8302,0.0953
687.6938,0.0942
689.5575,0.0943
691.4212,0.0940
693.2848,0.0935
695.1485,0.0950
697.0122,0.0949
698.8758,0.0946
700.7395,0.0964
702.6032,0.0971
704.4669,0.0947
706.3305,0.0936
708.1942,0.0937
710.0579,0.0942
711.9215,0.0951
713.7852,0.0947
715.6489,0.0939
717.5125,0.0937
719.3762,0.0934
721.2399,0.0944
723.1035,0.0959
724.9672,0.0948
726.8309,0.0942
728.6945,0.0950
730.5582,0.0939
732.4219,0.0929
734.2856,0.0925
736.1492,0.0932
738.0129,0.0936
739.8766,0.0932
741.7402,0.0933
743.6039,0.0938
745.4676,0.0941
747.3312,0.0936
749.1949,0.0932
751.0586,0.0932
752.9222,0.0928
754.7859,0.0916
756.6496,0.0913
758.5132,0.0920
760.3769,0.0922
762.2406,0.0913
764.1043,0.0908
765.9679,0.0909
767.8316,0.0911
769.6953,0.0917
771.5589,0.0915
773.4226,0.0910
775.2863,0.0908
777.1499,0.0901
779.0136,0.0897
780.8773,0.0900
782.7409,0.0900
784.6046,0.0899
786.4683,0.0896
788.3320,0.0891
790.1956,0.0890
792.0593,0.0891
793.9230,0.0887
795.7866,0.0888
797.6503,0.0897
799.5140,0.0900
801.3776,0.0894
803.2413,0.0884
805.1050,0.0877
806.9686,0.0872
808.8323,0.0874
810.6960,0.0872
812.5596,0.0869
814.4233,0.0870
816.2870,0.0864
818.1507,0.0861
820.0143,0.0866
821.8780,0.0868
823.7417,0.0867
825.6053,0.0861
827.4690,0.0861
829.3327,0.0867
831.1963,0.0865
833.0600,0.0863
834.9237,0.0866
836.7873,0.0861
838.6510,0.0856
840.5147,0.0861
842.3784,0.0863
844.2420,0.0858
846.1057,0.0854
847.9694,0.0854
849.8330,0.0857
851.6967,0.0859
853.5604,0.0858
855.4240,0.0855
857.2877,0.0855
859.1514,0.0853
861.0150,0.0853
862.8787,0.0858
864.7424,0.0858
866.6060,0.0854
868.4697,0.0852
870.3334,0.0854
872.1971,0.0855
874.0607,0.0853
875.9244,0.0853
877.7881,0.0852
879.6517,0.0850
881.5154,0.0847
883.3791,0.0847
885.2427,0.0849
887.1064,0.0848
888.9701,0.0846
890.8337,0.0845
892.6974,0.0845
894.5611,0.0842
896.4247,0.0840
898.2884,0.0839
900.1521,0.0841
902.0158,0.0842
903.8794,0.0839
905.7431,0.0836
907.6068,0.0836
909.4704,0.0835
911.3341,0.0833
913.1978,0.0834
915.0614,0.0834
916.9251,0.0831
918.7888,0.0829
920.6524,0.0827
922.5161,0.0826
924.3798,0.0825
926.2435,0.0825
928.1071,0.0826
929.9708,0.0828
931.8345,0.0828
933.6981,0.0824
935.5618,0.0822
937.4255,0.0822
939.2891,0.0821
941.1528,0.0821
943.0165,0.0821
944.8801,0.0820
946.7438,0.0820
948.6075,0.0819
950.4711,0.0820
952.3348,0.0820
954.1985,0.0820
956.0622,0.0821
957.9258,0.0816
959.7895,0.0814
961.6532,0.0816
963.5168,0.0816
965.3805,0.0817
967.2442,0.0818
969.1078,0.0818
970.9715,0.0817
972.8352,0.0817
974.6988,0.0819
976.5625,0.0821
978.4262,0.0823
980.2899,0.0821
982.1535,0.0818
984.0172,0.0816
985.8809,0.0815
987.7445,0.0815
989.6082,0.0812
991.4719,0.0811
993.3355,0.0815
995.1992,0.0816
997.0629,0.0815
998.9265,0.0814
1000.7902,0.0815
1002.6539,0.0815
1004.5175,0.0813
1006.3812,0.0809
1008.2449,0.0808
1010.1086,0.0807
1011.9722,0.0805
1013.8359,0.0804
1015.6996,0.0804
1017.5632,0.0804
1019.4269,0.0804
1021.2906,0.0802
1023.1542,0.0801
1025.0179,0.0802
1026.8816,0.0801
1028.7452,0.0800
1030.6089,0.0799
1032.4726,0.0796
1034.3362,0.0795
1036.1999,0.0794
1038.0636,0.0794
1039.9273,0.0793
1041.7909,0.0792
1043.6546,0.0792
1045.5183,0.0794
1047.3819,0.0795
1049.2456,0.0795
1051.1093,0.0796
1052.9729,0.0797
1054.8366,0.0798
1056.7003,0.0798
1058.5639,0.0799
1060.4276,0.0801
1062.2913,0.0803
1064.1550,0.0805
1066.0186,0.0807
1067.8823,0.0808
1069.7460,0.0810
1071.6096,0.0813
1073.4733,0.0811
1075.3370,0.0811
1077.2006,0.0813
1079.0643,0.0813
1080.9280,0.0813
1082.7916,0.0812
1084.6553,0.0811
1086.5190,0.0813
1088.3826,0.0813
1090.2463,0.0811
1092.1100,0.0812
1093.9737,0.0812
1095.8373,0.0810
1097.7010,0.0810
1099.5647,0.0809
1101.4283,0.0806
1103.2920,0.0804
1105.1557,0.0803
1107.0193,0.0797
1108.8830,0.0791
1110.7467,0.0786
1112.6103,0.0780
1114.4740,0.0771
1116.3377,0.0762
1118.2014,0.0755
1120.0650,0.0750
1121.9287,0.0745
1123.7924,0.0740
1125.6560,0.0735
1127.5197,0.0732
1129.3834,0.0729
1131.2470,0.0726
1133.1107,0.0722
1134.9744,0.0718
1136.8380,0.0713
1138.7017,0.0707
1140.5654,0.0701
1142.4290,0.0695
1144.2927,0.0687
1146.1564,0.0679
1148.0201,0.0670
1149.8837,0.0660
1151.7474,0.0652
1153.6111,0.0644
1155.4747,0.0635
1157.3384,0.0624
1159.2021,0.0614
1161.0657,0.0605
1162.9294,0.0597
1164.7931,0.0589
1166.6567,0.0580
1168.5204,0.0570
1170.3841,0.0561
1172.2477,0.0554
1174.1114,0.0546
1175.9751,0.0536
1177.8388,0.0526
1179.7024,0.0518
1181.5661,0.0511
1183.4298,0.0505
1185.2934,0.0498
1187.1571,0.0491
1189.0208,0.0486
1190.8844,0.0482
1192.7481,0.0478
1194.6118,0.0473
1196.4754,0.0469
1198.3391,0.0466
1200.2028,0.0463
1202.0665,0.0461
1203.9301,0.0459
1205.7938,0.0456
1207.6575,0.0454
1209.5211,0.0453
1211.3848,0.0452
1213.2485,0.0452
1215.1121,0.0452
1216.9758,0.0452
1218.8395,0.0452
1220.7031,0.0451
1222.5668,0.0451
1224.4305,0.0451
1226.2941,0.0452
1228.1578,0.0452
1230.0215,0.0451
1231.8852,0.0450
1233.7488,0.0451
1235.6125,0.0451
1237.4762,0.0451
1239.3398,0.0451
1241.2035,0.0453
1243.0672,0.0452
1244.9308,0.0451
1246.7945,0.0451
1248.6582,0.0450
1250.5218,0.0450
1252.3855,0.0449
1254.2492,0.0448
1256.1129,0.0448
1257.9765,0.0448
1259.8402,0.0448
1261.7039,0.0448
1263.5675,0.0447
1265.4312,0.0447
1267.2949,0.0447
1269.1585,0.0447
1271.0222,0.0446
1272.8859,0.0445
1274.7495,0.0443
1276.6132,0.0442
1278.4769,0.0443
1280.3405,0.0444
1282.2042,0.0444
1284.0679,0.0444
1285.9316,0.0442
1287.7952,0.0441
1289.6589,0.0441
1291.5226,0.0440
1293.3862,0.0439
1295.2499,0.0440
1297.1136,0.0440
1298.9772,0.0438
1300.8409,0.0439
1302.7046,0.0440
1304.5682,0.0440
1306.4319,0.0439
1308.2956,0.0438
1310.1592,0.0440
1312.0229,0.0440
1313.8866,0.0438
1315.7503,0.0438
1317.6139,0.0440
1319.4776,0.0439
1321.3413,0.0438
1323.2049,0.0438
1325.0686,0.0437
1326.9323,0.0436
1328.7959,0.0436
1330.6596,0.0439
1332.5233,0.0441
1334.3869,0.0442
1336.2506,0.0444
1338.1143,0.0445
1339.9780,0.0441
1341.8416,0.0438
1343.7053,0.0439
1345.5690,0.0441
1347.4326,0.0441
1349.2963,0.0440
1351.1600,0.0441
1353.0236,0.0441
1354.8873,0.0443
1356.7510,0.0443
1358.6146,0.0443
1360.4783,0.0443
1362.3420,0.0443
1364.2056,0.0440
1366.0693,0.0441
1367.9330,0.0440
1369.7967,0.0439
1371.6603,0.0440
1373.5240,0.0442
1375.3877,0.0441
1377.2513,0.0443
1379.1150,0.0441
1380.9787,0.0438
1382.8423,0.0439
1384.7060,0.0441
1386.5697,0.0440
1388.4333,0.0437
1390.2970,0.0440
1392.1607,0.0444
1394.0244,0.0444
1395.8880,0.0442
1397.7517,0.0443
1399.6154,0.0437
1401.4790,0.0440
1403.3427,0.0443
1405.2064,0.0440
1407.0700,0.0441
1408.9337,0.0443
1410.7974,0.0441
1412.6610,0.0439
1414.5247,0.0441
1416.3884,0.0447
1418.2520,0.0445
1420.1157,0.0434
1421.9794,0.0437
1423.8431,0.0437
1425.7067,0.0435
1427.5704,0.0437
1429.4341,0.0436
1431.2977,0.0434
1433.1614,0.0437
1435.0251,0.0443
1436.8887,0.0431
1438.7524,0.0421
1440.6161,0.0424
1442.4797,0.0422
1444.3434,0.0425
1446.2071,0.0425
1448.0707,0.0421
1449.9344,0.0417
1451.7981,0.0419
1453.6618,0.0423
1455.5254,0.0429
1457.3891,0.0410
1459.2528,0.0403
1461.1164,0.0406
1462.9801,0.0407
1464.8438,0.0400
1466.7074,0.0399
1468.5711,0.0403
1470.4348,0.0408
1472.2984,0.0407
1474.1621,0.0402
1476.0258,0.0397
1477.8895,0.0394
1479.7531,0.0397
1481.6168,0.0396
1483.4805,0.0395
1485.3441,0.0399
1487.2078,0.0404
1489.0715,0.0407
